성별,전공,w
1,2,1
2,1,1
1,2,1
1,1,1
2,2,1
2,1,1
2,2,1
2,1,1
1,2,1
2,1,1
2,1,1
1,2,1
1,1,1
1,1,1
1,1,1
1,1,1
2,2,1
1,1,1
1,2,1
1,1,1
2,2,1
2,2,1
1,2,1
2,2,1
1,1,1
2,2,1
1,1,1
2,2,1
2,2,1
1,2,1
1,1,1
1,1,1
1,1,1
1,2,1
1,1,1
1,2,1
2,1,1
2,2,1
1,1,1
1,2,1
2,2,1
1,1,1
2,2,1
1,1,1
2,2,1
1,1,1
1,2,1
1,1,1
2,2,1
2,2,1
1,2,1
1,1,1
2,2,1
1,1,1
2,1,1
2,1,1
1,1,1
1,2,1
1,2,1
1,1,1
1,1,1
2,2,1
1,2,1
1,1,1
1,1,1
1,1,1
1,2,1
1,1,1
1,2,1
1,2,1
1,1,1
2,1,1
1,1,1
1,1,1
2,1,1
2,2,1
1,2,1
1,2,1
1,2,1
1,1,1
1,1,1
2,2,1
1,2,1
2,2,1
1,1,1
1,2,1
2,1,1
2,2,1
2,2,1
2,1,1
2,1,1
2,1,1
1,1,1
2,2,1
1,1,1
1,2,1
1,2,1
2,1,1
1,1,1
2,2,1
