heart_rate,o2,body_temp,snoring,movement_freq,movement_intensity,sleep
61,97.134,36.333,1,0,0,TRUE
60,96.438,36.471,1,0,0,TRUE
63,96.705,36.501,0,0,0,FALSE
57,96.882,36.179,0,0,0,FALSE
59,96.729,36.294,1,0,0,TRUE
64,96.913,36.115,0,0,0,FALSE
58,96.952,36.255,0,0,0,FALSE
57,96.749,36.418,1,0,0,TRUE
58,96.697,36.374,0,0,0,FALSE
56,96.601,36.294,0,0,0,FALSE
58,96.890,36.278,1,1,2.856,TRUE
56,96.745,36.439,0,0,0,FALSE
67,96.749,36.454,1,1,2.971,TRUE
58,96.718,36.458,0,0,0,FALSE
58,96.973,36.444,1,0,0,TRUE
65,96.744,36.451,0,0,0,FALSE
58,96.359,36.481,0,0,0,FALSE
59,96.828,36.516,1,0,0,TRUE
58,96.712,36.214,0,0,0,FALSE
61,96.497,36.51,1,0,0,TRUE
61,97.005,36.261,1,0,0,TRUE
57,96.666,36.405,1,0,0,TRUE
60,96.808,36.212,1,1,2.611,TRUE
61,96.499,36.608,1,0,0,TRUE
56,96.782,36.307,1,1,2.619,TRUE
62,96.839,36.33,0,1,2.758,FALSE
55,96.661,36.469,1,2,3.219,TRUE
56,96.728,36.345,0,0,0,TRUE
59,96.868,36.417,0,0,0,FALSE
64,96.892,36.365,0,0,0,FALSE
58,96.615,36.359,0,0,0,FALSE
56,96.723,36.444,1,0,0,TRUE
61,96.742,36.298,1,0,0,TRUE
59,96.961,36.352,1,0,0,TRUE
58,96.640,36.352,0,0,0,FALSE
59,96.544,36.499,0,0,0,FALSE
53,96.348,36.32,1,0,0,TRUE
61,96.979,36.375,1,0,0,TRUE
59,96.728,36.394,0,1,3.162,FALSE
55,96.752,36.562,0,1,2.817,FALSE
59,96.801,36.33,1,0,0,TRUE
60,96.822,36.302,0,0,0,FALSE
55,96.826,36.486,0,0,0,FALSE
53,96.623,36.586,1,1,2.626,TRUE
64,96.984,36.287,1,1,2.858,TRUE
65,96.821,36.324,0,0,0,FALSE
59,96.631,36.353,0,1,2.732,FALSE
55,96.606,36.337,0,0,0,FALSE
61,96.679,36.471,0,0,0,FALSE
56,96.774,36.274,1,0,0,TRUE
53,96.553,36.36,1,0,0,TRUE
52,96.568,36.501,1,0,0,TRUE
55,96.963,36.258,1,0,0,TRUE
50,96.397,36.4,1,0,0,TRUE
58,96.922,36.254,0,0,0,TRUE
59,96.651,36.276,1,0,0,TRUE
57,96.682,36.441,1,0,0,TRUE
58,96.963,36.398,1,0,0,TRUE
61,96.908,36.217,0,0,0,FALSE
59,96.845,36.434,0,0,0,FALSE
58,96.736,36.497,0,0,0,FALSE
61,96.906,36.417,0,1,2.787,FALSE
58,96.913,36.301,1,1,2.8,TRUE
55,96.527,36.53,0,0,0,FALSE
62,97.052,36.374,0,1,2.81,FALSE
60,96.750,36.448,0,0,0,FALSE
56,96.754,36.374,1,0,0,TRUE
59,96.626,36.409,0,0,0,FALSE
57,96.554,36.417,1,1,2.712,TRUE
56,96.560,36.617,0,0,0,FALSE
60,96.961,36.385,0,0,0,FALSE
56,96.320,36.32,1,1,2.918,TRUE
60,96.618,36.311,0,0,0,TRUE
58,96.580,36.486,0,0,0,FALSE
55,96.502,36.21,0,1,2.973,FALSE
59,96.729,36.42,1,1,2.777,TRUE
54,96.621,36.25,0,0,0,FALSE
55,96.684,36.317,1,0,0,TRUE
62,97.068,36.358,1,1,2.845,TRUE
59,96.721,36.463,0,0,0,FALSE
57,96.864,36.266,1,0,0,TRUE
62,96.799,36.404,0,2,2.913,FALSE
58,96.719,36.266,0,0,0,FALSE
58,96.617,36.377,1,0,0,TRUE
59,96.704,36.469,1,0,0,TRUE
63,96.978,36.366,1,1,2.699,TRUE
57,96.725,36.49,1,0,0,TRUE
58,96.904,36.333,1,1,2.766,TRUE
57,96.618,36.49,1,0,0,TRUE
57,96.696,36.348,0,0,0,FALSE
59,97.114,36.345,1,0,0,TRUE
61,96.888,36.454,0,1,2.675,FALSE
59,96.624,36.362,0,0,0,TRUE
59,96.612,36.344,1,2,3.071,TRUE
62,96.630,36.379,0,0,0,FALSE
58,96.882,36.36,1,0,0,TRUE
58,96.901,36.267,1,0,0,TRUE
54,96.571,36.242,0,0,0,FALSE
57,96.652,36.438,1,1,2.907,TRUE
55,96.476,36.392,0,0,0,FALSE
60,96.701,36.301,0,0,0,TRUE
52,96.394,36.528,1,0,0,TRUE
60,96.938,36.292,0,1,2.799,FALSE
59,96.400,36.226,1,0,0,TRUE
58,96.377,36.531,0,1,3.107,FALSE
57,96.812,36.28,1,0,0,TRUE
59,96.737,36.34,1,0,0,TRUE
61,96.742,36.484,0,0,0,FALSE
60,96.668,36.493,1,0,0,TRUE
56,96.668,36.162,0,0,0,FALSE
65,97.045,36.587,1,0,0,TRUE
52,96.860,36.423,1,0,0,TRUE
55,96.359,36.485,0,0,0,FALSE
61,96.877,36.349,1,0,0,TRUE
61,96.541,36.312,1,1,2.976,TRUE
57,96.717,36.43,1,0,0,TRUE
57,96.953,36.495,1,0,0,TRUE
62,97.047,36.299,0,1,2.836,FALSE
62,96.952,36.459,0,0,0,FALSE
56,96.568,36.365,0,0,0,FALSE
57,96.699,36.412,0,0,0,TRUE
61,97.154,36.323,0,0,0,TRUE
60,96.553,36.491,0,1,2.7,FALSE
56,96.550,36.4,0,0,0,FALSE
57,96.567,36.28,1,0,0,TRUE
58,96.363,36.384,0,0,0,FALSE
58,96.905,36.28,0,0,0,FALSE
60,96.864,36.238,1,0,0,TRUE
54,96.235,36.1,0,0,0,FALSE
64,96.914,36.447,1,0,0,TRUE
59,96.640,36.318,1,0,0,TRUE
56,96.837,36.471,1,0,0,TRUE
55,96.875,36.512,0,0,0,FALSE
60,96.752,36.325,0,0,0,FALSE
61,96.887,36.486,1,0,0,TRUE
58,96.871,36.205,1,0,0,TRUE
59,96.763,36.428,1,1,2.941,TRUE
59,96.586,36.325,0,0,0,TRUE
57,96.502,36.347,1,1,2.887,TRUE
56,96.723,36.284,1,1,2.729,TRUE
58,96.611,36.42,0,1,2.895,FALSE
58,96.570,36.361,1,0,0,TRUE
59,96.940,36.3,0,0,0,TRUE
56,96.639,36.403,0,0,0,FALSE
55,96.694,36.423,1,0,0,TRUE
