ID,상호명,포장,예약,주소,평균가격,최소가격,최대가격
11560770,압구정샤브샤브,0,0,서울 서대문구 연대동문길 26,14500,13000,16000
11617019,아이비사주카페,0,0,서울 서대문구 이화여대7길 23,9600,5000,20000
11625126,피자헛 홍제본점,1,0,서울 서대문구 세검정로 73,23804,19900,25130
11710118,대가감자탕&보쌈,0,0,서울 서대문구 홍제내길 136,19500,14000,25000
11646388,아마이,0,0,서울 서대문구 연세로 21,24000,16000,32000
11555291,진보,0,0,서울 서대문구 연희맛로 9,73333.3333,40000,90000
11686544,새참찬방,0,0,서울 서대문구 영천시장길 64,4333.3333,4000,5000
11679712,함평면옥,0,0,서울 서대문구 성산로 527,35200,9000,95000
11398525,맛보치킨,1,0,서울 서대문구 연희로 207,15560,10000,25000
11581844,존재의 이유,0,0,서울 서대문구 성산로 553,11800,7000,25000
11555233,일화성,0,0,서울 서대문구 연희로36길 26,13800,9000,18000
11616341,호남기사식당,0,0,서울 서대문구 북아현로 70,7800,6500,10000
11710665,홍초불닭 신촌본점,0,0,서울 서대문구 연세로7안길 28-3,17400,16000,20000
11618531,소문난집,0,0,서울 서대문구 연세로7길 38,12000,9000,15000
11555234,아미산,0,0,서울 서대문구 연희로32길 151,6400,5000,7000
11592725,완차이,0,0,서울 서대문구 명물길 50-7,11333.3333,5000,23000
11587226,아저씨네낙지찜,0,0,서울 서대문구 연세로5다길 39,35000,27000,43000
11592720,투썸플레이스 신촌점,1,0,서울 서대문구 신촌로 93,4920,4100,5800
11678955,레인트리,0,0,서울 서대문구 이화여대2가길 24,4600,3500,6000
11603484,포석정,0,0,서울 서대문구 연세로11길 25,16980,6900,20000
11593199,에로스 사주카페,0,0,서울 서대문구 이화여대길 37,11000,5000,25000
11594306,불밥,0,0,서울 서대문구 이화여대8길 11,8333.3333,8000,9000
11593472,한옥집 김치찜 본점,0,0,서울 서대문구 통일로9길 12,12700,8000,30000
11560456,가문의우동,0,0,서울 서대문구 연세로9길 13,9900,8000,12000
11570104,티앙팡 오후의 홍차,0,0,서울 서대문구 이화여대2가길 19,6760,5000,8400
11555240,걸리부,0,0,서울 서대문구 연희맛로 31,14875,4500,45000
11691794,다모토리,0,0,서울 서대문구 연세로7안길 22,5000,4000,6000
11605455,가미분식,0,0,서울 서대문구 이화여대8길 2,7000,7000,7000
11618476,무릉도원 이대점,1,0,서울 서대문구 이화여대2가길 24,20200,5500,40000
11616129,삼호복집,0,0,서울 서대문구 연세로5다길 10,24000,15000,30000
11592729,신선설농탕 신촌점,0,0,서울 서대문구 명물길 48,11800,8000,18000
11593208,우결사주카페,0,0,서울 서대문구 이화여대2가길 17,NULL,NULL,NULL
11683257,도적,0,0,서울 마포구 어울마당로5길 3,11800,5000,17000
11611824,클럽에반스,0,0,서울 마포구 와우산로 63,7333.3333,5000,10000
11585305,바우하우스,0,0,서울 마포구 양화로 64,4500,500,8000
11707564,프리모바치오바치 홍대본점,0,0,서울 마포구 와우산로23길 44,12700,10000,16000
11707324,굴다리식당,0,0,서울 마포구 새창로 8-1,9666.6667,8000,11000
11590279,바다나라1박2일포차,1,0,서울 마포구 어울마당로 143-1,33000,23000,43000
11663081,철길왕갈비살,0,0,서울 마포구 와우산로32길 24,12800,4000,18000
11574396,스시겐,0,0,서울 마포구 양화로7길 6-12,33400,22000,50000
11387630,김밥세상 연남점,0,0,서울 마포구 연희로 31,NULL,NULL,NULL
11708756,연남서식당,0,0,서울 마포구 백범로2길 32,15000,15000,15000
11618988,부용각,1,0,서울 마포구 대흥로20길 16,11100,5000,25000
11675084,영빈,0,0,서울 마포구 양화로 100-14,8750,6000,13000
11710184,남북통일,0,0,서울 마포구 동교로18길 37,16800,9000,35000
11590691,두리반,0,0,서울 마포구 홍익로5길 45,7500,7000,8000
11384321,리멤버,0,0,서울 마포구 월드컵북로1길 72,NULL,NULL,NULL
11555289,홍복,0,0,서울 마포구 동교로 274,8000,5000,13000
11680030,향미,0,1,서울 마포구 성미산로 193,13750,6500,22000
11609679,홍대최대포,0,0,서울 마포구 양화로19길 10,13000,13000,13000
11479234,신성기사식당,0,0,서울 마포구 독막로 223,NULL,NULL,NULL
11553967,이런된장,0,0,서울 마포구 독막로3길 20,7000,7000,7000
11678637,신성각,0,0,서울 마포구 임정로 55-1,7200,4000,15000
11679294,불이아 홍대본점,0,0,서울 마포구 동교로 182-6,28000,21000,42000
11593365,고향집감자탕 마포구청역점,0,0,서울 마포구 방울내로 75,37400,32000,43000
11707564,프리모바치오바치 홍대본점,0,0,서울 마포구 와우산로23길 44,12700,10000,16000
11610547,원조마포할머니빈대떡본관,0,1,서울 마포구 만리재로 23,16400,12000,23000
11626202,부영각,0,0,서울 마포구 토정로 268,40000,40000,40000
11716003,옻칠갤러리카페,0,0,서울 마포구 월드컵북로2길 33,4420,3500,5500
11585347,그릭조이,0,0,서울 마포구 성지1길 6,17750,15000,21000
11476441,램랜드,0,0,서울 마포구 토정로 255,21333.3333,13000,26000
11711590,월드컵스넥,0,0,서울 마포구 월드컵로 235,2900,2000,5000
11679611,을밀대 평양냉면,0,0,서울 마포구 숭문길 24,21800,9000,60000
11607050,산까치,0,0,서울 마포구 백범로1길 8-9,4500,4500,4500
11603394,아소정,1,0,서울 마포구 백범로25길 9,40400,7000,75000
11588900,재미난조각가,0,0,서울 마포구 와우산로21길 24,25000,5000,50000
11707372,마포옥,0,0,서울 마포구 토정로 312,25200,11000,55000
11578700,숯불바베큐치킨,1,0,서울 마포구 방울내로 73,15600,14000,16000
11663081,철길왕갈비살,0,0,서울 마포구 와우산로32길 24,12800,4000,18000
11711946,부산갈매기,0,0,서울 마포구 도화길 48-3,10400,5000,13000
11632310,송가네감자탕본점,0,0,서울 마포구 동교로 245,21000,9000,30000
11826755,미스터피자 홍제점,1,0,서울 서대문구 세검정로 65-1,25740,22500,27900
11802948,또래오래 서대문역점,1,0,서울 서대문구 독립문로 46-1,16200,15000,17000
11826692,미스터피자 이대점,1,1,서울 서대문구 이화여대8길 10,25740,22500,27900
11832242,지리산삼계탕,0,0,서울 서대문구 연희맛로 26,12666.6667,5000,18000
11807488,봉추찜닭 이대점,1,0,서울 서대문구 이화여대2가길 19,32000,22000,44000
11800517,페리카나 영천시장점,1,0,서울 서대문구 통일로 175,0,0,0
11831167,치킨마루 아현점,1,0,서울 서대문구 신촌로37안길 7,11980,9900,14000
11727708,삼오쭈꾸미,0,0,서울 서대문구 통일로 107-19,6750,1000,11000
11722372,향촌,0,0,서울 서대문구 충정로6안길 6-4,0,0,0
11832249,조은집,0,0,서울 서대문구 연희맛로 43,12000,0,18000
11807483,봉추찜닭 신촌점,1,0,서울 서대문구 명물길 27-23,33800,24000,46000
11763553,투다리 하나로점,0,0,서울 서대문구 명지대길 18,0,0,0
11862012,진원조닭한마리 신촌점,0,0,서울 서대문구 연세로5가길 18,6000,1000,22000
11721080,홍제참치,0,0,서울 서대문구 통일로37길 4,18250,8000,30000
11721340,토즈 신촌본점,0,1,서울 서대문구 연세로 10-1,23200,6000,50000
11853720,고바우왕족발보쌈,0,0,서울 서대문구 연희로 263,27200,15000,39000
11803232,보드람치킨 홍은점,1,0,서울 서대문구 세검정로1길 35,17000,17000,17000
11800844,페리카나 홍은동점,0,0,서울 서대문구 모래내로 364,0,0,0
11856504,이정희떡볶이,0,0,서울 서대문구 증가로10길 14,2600,1000,5000
11802032,교촌치킨 명지대점,0,0,서울 서대문구 거북골로 57-1,17800,15000,20000
