input_quant,temp,material_pressure,material_temp,exit_zone_temp,motor_amperage,motor_RPM,output_quality
13.092,24.0,124.472,153.7,51.9,72.28,11.01,4.585
12.965,24.0,124.071,164.6,53.3,70.67,10.99,6.517
11.863,24.1,124.039,157.8,52.6,71.89,11.02,3.968
13.23,24.0,124.325,173.4,56.6,71.06,11.03,7.114
11.762,24.0,124.172,150.4,52.4,70.11,11.0,2.016
12.546,24.0,124.369,164.3,54.7,70.27,11.02,5.412
13.197,23.9,124.538,152.8,52.4,73.89,11.0,3.949
12.977,24.1,123.862,177.1,55.9,73.94,10.99,8.324
12.328,24.0,124.165,156.3,51.1,70.62,11.01,5.467
13.239,24.0,124.26,165.2,55.2,72.72,11.01,5.764
12.323,23.9,123.683,174.3,55.1,68.16,10.99,7.385
13.279,24.0,124.351,152.5,52.5,72.69,11.01,4.388
12.683,24.1,124.52,165.1,56.3,71.11,11.01,5.088
13.266,23.9,124.345,167.9,54.5,75.16,11.01,6.224
12.874,24.0,123.787,172.7,54.8,70.18,11.03,8.168
13.638,23.9,124.007,157.6,53.9,71.3,10.99,4.583
12.965,24.1,123.923,161.9,53.2,68.93,11.01,6.82
12.218,24.2,123.789,157.1,54.1,69.88,11.02,6.092
12.06,24.0,123.791,154.2,53.1,75.59,11.0,4.438
12.866,24.0,123.902,138.0,52.4,71.57,11.02,4.786
13.342,24.0,124.119,164.5,51.9,72.16,11.03,6.081
12.818,23.9,123.69,152.5,52.8,74.27,11.05,6.761
13.218,23.9,124.566,161.6,56.5,71.37,11.02,4.312
12.956,23.9,124.254,156.3,51.7,71.6,11.04,5.293
12.958,24.0,124.158,172.8,55.8,70.26,11.03,7.157
13.156,24.1,124.472,169.6,55.9,70.37,11.03,5.512
12.606,24.0,124.414,149.1,49.7,73.87,11.02,4.32
12.545,24.1,124.03,163.1,52.5,72.02,11.01,6.556
13.055,23.9,123.883,153.8,52.1,71.9,11.0,5.865
12.764,24.1,123.642,171.9,58.5,71.59,11.03,7.838
13.156,23.9,123.669,171.2,55.7,68.96,11.03,7.935
12.727,23.9,123.684,170.1,57.2,71.3,11.03,7.692
12.944,24.2,124.336,152.5,53.5,74.67,11.03,4.507
13.105,24.0,123.828,154.6,53.7,73.91,11.04,5.891
12.792,23.9,123.651,144.9,49.6,71.3,11.02,6.049
12.949,24.0,124.545,164.2,54.4,74.49,11.03,5.0
13.034,23.9,124.524,152.4,53.0,70.95,11.04,4.02
13.014,24.0,123.732,153.9,52.2,71.32,11.05,6.537
12.92,23.8,123.92,174.4,54.4,71.01,11.03,7.705
12.914,24.0,123.769,158.0,54.2,73.62,11.05,6.314
