날짜,종가,전일비,시가,고가,저가,거래량
2020.01.02,182500.0,4000.0,187500.0,188000.0,182000.0,300640.0
2020.01.03,181500.0,1000.0,185000.0,186000.0,180500.0,454492.0
2020.01.06,180500.0,1000.0,180000.0,182000.0,178000.0,287970.0
2020.01.07,187000.0,6500.0,182500.0,187000.0,181500.0,328624.0
2020.01.08,183000.0,4000.0,182000.0,183500.0,179000.0,820867.0
2020.01.09,186000.0,3000.0,183500.0,186500.0,183500.0,531355.0
2020.01.10,188000.0,2000.0,185000.0,188000.0,184000.0,398739.0
2020.01.13,188000.0,0.0,187500.0,188500.0,186000.0,337749.0
2020.01.14,190500.0,2500.0,188000.0,194500.0,188000.0,501286.0
2020.01.15,191500.0,1000.0,189500.0,192000.0,188500.0,323778.0
2020.01.16,191500.0,0.0,190000.0,192500.0,189000.0,245107.0
2020.01.17,191000.0,500.0,190500.0,192500.0,189500.0,286019.0
2020.01.20,187500.0,3500.0,190000.0,190500.0,187000.0,454733.0
2020.01.21,182000.0,5500.0,187500.0,189500.0,181000.0,547678.0
2020.01.22,186000.0,4000.0,185000.0,190000.0,184500.0,429852.0
2020.01.23,183000.0,3000.0,185000.0,185500.0,181500.0,375929.0
2020.01.28,178500.0,4500.0,182000.0,184500.0,178000.0,476253.0
2020.01.29,180000.0,1500.0,183000.0,183500.0,180000.0,434897.0
2020.01.30,180000.0,0.0,179500.0,183000.0,175000.0,772160.0
2020.01.31,179500.0,500.0,180000.0,180500.0,177500.0,537062.0
2020.02.03,177500.0,2000.0,178000.0,180500.0,176000.0,485913.0
2020.02.04,180500.0,3000.0,177500.0,181500.0,175000.0,563463.0
2020.02.05,181500.0,1000.0,181000.0,183500.0,178500.0,653809.0
2020.02.06,181500.0,0.0,182500.0,183500.0,180500.0,659850.0
2020.02.07,185000.0,3500.0,181500.0,188500.0,181000.0,728633.0
2020.02.10,183500.0,1500.0,182500.0,184000.0,180500.0,433051.0
2020.02.11,184500.0,1000.0,183500.0,185000.0,183000.0,400386.0
2020.02.12,185000.0,500.0,183000.0,185000.0,181500.0,351892.0
2020.02.13,184500.0,500.0,184000.0,185000.0,183000.0,555923.0
2020.02.14,186500.0,2000.0,184000.0,187500.0,184000.0,659429.0
2020.02.17,188500.0,2000.0,184500.0,189000.0,184500.0,312407.0
2020.02.18,186500.0,2000.0,186500.0,188500.0,185500.0,345642.0
2020.02.19,189500.0,3000.0,188000.0,191000.0,185000.0,560743.0
2020.02.20,190000.0,500.0,189500.0,191500.0,187500.0,427402.0
